epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.41449,4.8529,4.17821,4.9923,0.00417,0.04854,0.00223,0.00052,5.48214,3.70515,5.21331,0,0,0
2,8.57678,4.68005,4.15629,4.64767,0.005,0.05825,0.00266,0.00061,5.527,3.69783,5.29352,1.9802e-05,1.9802e-05,1.9802e-05
3,12.139,4.7771,4.09836,4.86639,0.00333,0.03883,0.00175,0.00043,5.54449,3.6914,5.3308,3.9208e-05,3.9208e-05,3.9208e-05
4,15.4618,4.73693,4.13837,4.92762,0.0025,0.02913,0.00131,0.00034,5.56281,3.69351,5.377,5.8218e-05,5.8218e-05,5.8218e-05
5,18.8001,4.48468,4.15125,4.19245,0.00333,0.03883,0.00174,0.00047,5.53673,3.68213,5.41841,7.6832e-05,7.6832e-05,7.6832e-05
6,22.1738,4.57406,4.10082,4.68698,0.0075,0.08738,0.00455,0.00174,5.38523,3.43102,4.94264,9.505e-05,9.505e-05,9.505e-05
7,26.9069,3.89943,3.77875,3.69112,0.02147,0.08738,0.00811,0.00213,4.88021,3.06871,4.05121,0.000112872,0.000112872,0.000112872
8,32.0888,3.18439,3.18398,2.87829,0.21827,0.08738,0.03549,0.01055,3.90437,3.0419,3.03485,0.000130298,0.000130298,0.000130298
9,37.0888,2.65515,2.53344,2.37546,0.06957,0.08738,0.03211,0.01111,2.66765,3.26305,2.31356,0.000147328,0.000147328,0.000147328
10,41.3721,2.19766,2.02585,1.95419,0.19673,0.58252,0.1713,0.06731,1.87383,2.54961,1.90939,0.000163962,0.000163962,0.000163962
11,46.0985,2.193,1.77662,2.06583,0.49644,0.67961,0.51615,0.21739,1.57792,1.55266,1.89946,0.0001802,0.0001802,0.0001802
12,50.1753,1.77547,1.69014,1.73243,0.7966,0.73786,0.79691,0.36095,1.47328,1.16222,1.63058,0.000196042,0.000196042,0.000196042
13,55.1985,1.83606,1.52502,1.5409,0.78946,0.87374,0.85764,0.43252,1.45254,1.16159,1.52915,0.000211488,0.000211488,0.000211488
14,60.2619,1.67728,1.19191,1.43496,0.63675,0.76585,0.75101,0.43013,1.4528,1.249,1.55502,0.000226538,0.000226538,0.000226538
15,65.4563,1.48349,1.1095,1.42461,0.61943,0.82524,0.68417,0.41432,1.41076,1.17248,1.56344,0.000241192,0.000241192,0.000241192
16,70.1939,1.81815,1.10629,1.89867,0.62604,0.85437,0.67647,0.40373,1.38565,1.1024,1.59071,0.00025545,0.00025545,0.00025545
17,75.0279,1.76662,1.01971,1.72737,0.66303,0.85965,0.74944,0.44258,1.41686,1.02563,1.74581,0.000269312,0.000269312,0.000269312
18,79.0832,1.49551,0.99875,1.42912,0.66303,0.85965,0.74944,0.44258,1.41686,1.02563,1.74581,0.000282778,0.000282778,0.000282778
19,83.7004,1.4507,0.97372,1.47761,0.83458,0.83495,0.88897,0.52696,1.41665,0.91439,1.76712,0.000295848,0.000295848,0.000295848
20,88.384,1.65921,0.98809,1.56717,0.83458,0.83495,0.88897,0.52696,1.41665,0.91439,1.76712,0.000308522,0.000308522,0.000308522
21,93.0212,1.7342,1.04555,1.90158,0.9097,0.8932,0.935,0.55473,1.37815,0.82946,1.62887,0.0003208,0.0003208,0.0003208
22,97.5882,1.35667,0.86516,1.28268,0.9097,0.8932,0.935,0.55473,1.37815,0.82946,1.62887,0.000332682,0.000332682,0.000332682
23,102.62,1.41232,0.86431,1.30587,0.95551,0.94175,0.97075,0.57231,1.2819,0.75094,1.37474,0.000344168,0.000344168,0.000344168
24,107.073,1.38555,0.90478,1.32271,0.95551,0.94175,0.97075,0.57231,1.2819,0.75094,1.37474,0.000355258,0.000355258,0.000355258
25,112.285,1.32619,0.84071,1.20326,0.95828,0.96117,0.97278,0.57281,1.28848,0.76857,1.28156,0.000365952,0.000365952,0.000365952
26,116.817,1.43341,0.85466,1.25811,0.95828,0.96117,0.97278,0.57281,1.28848,0.76857,1.28156,0.00037625,0.00037625,0.00037625
27,121.773,1.3377,0.82282,1.16057,0.95205,0.96385,0.97379,0.5762,1.29822,0.76843,1.28966,0.000386152,0.000386152,0.000386152
28,125.964,1.36403,0.84898,1.24294,0.95205,0.96385,0.97379,0.5762,1.29822,0.76843,1.28966,0.000395658,0.000395658,0.000395658
29,131.572,1.26291,0.7563,1.1055,0.95156,0.95356,0.97375,0.58271,1.2587,0.75476,1.28743,0.000404768,0.000404768,0.000404768
30,135.911,1.31988,0.80748,1.25892,0.95156,0.95356,0.97375,0.58271,1.2587,0.75476,1.28743,0.000413482,0.000413482,0.000413482
31,141.178,1.35579,0.84171,1.22065,0.94077,0.97087,0.96478,0.57205,1.26481,0.76722,1.30735,0.0004218,0.0004218,0.0004218
32,145.175,1.17975,0.74137,1.09783,0.94077,0.97087,0.96478,0.57205,1.26481,0.76722,1.30735,0.000429722,0.000429722,0.000429722
33,149.976,1.1858,0.74696,1.12038,0.98771,0.98058,0.98789,0.58596,1.31849,0.70208,1.42932,0.000437248,0.000437248,0.000437248
34,154.587,1.3682,0.76198,1.11446,0.98771,0.98058,0.98789,0.58596,1.31849,0.70208,1.42932,0.000444378,0.000444378,0.000444378
35,159.813,1.15257,0.71193,1.07239,0.9886,0.98058,0.98563,0.59182,1.29802,0.69922,1.47338,0.000451112,0.000451112,0.000451112
36,165.239,1.24111,0.71678,1.0467,0.9886,0.98058,0.98563,0.59182,1.29802,0.69922,1.47338,0.00045745,0.00045745,0.00045745
37,169.84,1.15455,0.71811,1.09118,0.98832,0.98058,0.98522,0.58829,1.2699,0.70991,1.40866,0.000463392,0.000463392,0.000463392
38,174.201,1.10642,0.66976,1.0366,0.98832,0.98058,0.98522,0.58829,1.2699,0.70991,1.40866,0.000468938,0.000468938,0.000468938
39,178.994,1.25306,0.75767,1.14012,0.99019,0.9804,0.98495,0.57404,1.27232,0.71185,1.4227,0.000474088,0.000474088,0.000474088
40,183.503,1.24046,0.74875,1.0987,0.99019,0.9804,0.98495,0.57404,1.27232,0.71185,1.4227,0.000478842,0.000478842,0.000478842
